city,email
Bandar Tun Razak,cityroadreport@gmail.com
Bangsar,cityroadreport@gmail.com
Batu,cityroadreport@gmail.com
Bukit Bintang,cityroadreport@gmail.com
Bukit Jalil,cityroadreport@gmail.com
Cheras,cityroadreport@gmail.com
Chow Kit,cityroadreport@gmail.com
Kampung Baru,cityroadreport@gmail.com
Kerinchi,cityroadreport@gmail.com
Kepong,cityroadreport@gmail.com
KL City Centre (KLCC),cityroadreport@gmail.com
Kuchai Lama,cityroadreport@gmail.com
Kuala Lumpur,cityroadreport@gmail.com
Lembah Pantai,cityroadreport@gmail.com
Mid Valley,cityroadreport@gmail.com
Mont Kiara,cityroadreport@gmail.com
Pantai Dalam,cityroadreport@gmail.com
Petaling Jaya,cityroadreport@gmail.com
Pudu,cityroadreport@gmail.com
Segambut,cityroadreport@gmail.com
Seputeh,cityroadreport@gmail.com
Sentul,cityroadreport@gmail.com
Setiawangsa,cityroadreport@gmail.com
Sri Hartamas,cityroadreport@gmail.com
Sri Petaling,cityroadreport@gmail.com
Titiwangsa,cityroadreport@gmail.com
Wangsa Maju,cityroadreport@gmail.com
